ID,Year,Country,Region,Artist,Song,Artist_gender,Group_Solo,Place,Points,Home_Away_Country,Home_Away_Region,Is_Final,Semi_Final_Number,Song_In_English,Song_Quality,Normalized_Points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,Happiness
585,2012,Croatia,Former Yugoslavia,Nina Badri ,Nebo,NA,NA,12,42,Away,Away,0,1,0,1.384.787.073,0.034482759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,2012,Cyprus,Independent,Ivi Adamou,La La Love,NA,NA,7,91,Away,Home,0,1,1,4.263.297.977,0.074712644,0.745343861,18.247.946,0.057464591,0.759732204,131.014,0.040005443,9,0.12312559,4,1,-5.001,0.645078273,5.378.294.574
587,2012,Denmark,Former Socialist Bloc,Soluna Samay,Should ve Known Better,NA,NA,9,63,Away,Away,0,1,1,3.335.122.898,0.051724138,0.619905113,18.023.293,0.061797569,0.594269825,95.009,0.032923349,8,0.10409242,4,1,-6.139,0.456759172,5.572.826.087
588,2012,Estonia,Scandinavia,Ott Lepland,Kuula,NA,NA,4,100,Away,Away,0,1,0,5.254.037.195,0.082101806,0.408968317,26.102.966,0.344074098,0.303590118,128.579,0.033607666,5,0.096149117,4,1,-8.071,0.086331883,5.458.709.677
589,2012,Finland,Former Socialist Bloc,Pernilla,N r Jag Blundar,NA,NA,12,41,Away,Home,0,1,0,2.177.747.403,0.033661741,0.508617682,19.312.327,0.851336181,0.6457156,84.925,0.037905368,4,0.100525263,3,0,-8.158,0.772204402,NA
590,2012,Georgia,Scandinavia,Anri Jokhadze,I m A Joker,NA,NA,14,36,Away,Away,0,1,1,1.873.145.082,0.02955665,0.798774401,18.106.884,0.007099891,0.770894554,116.022,0.051507691,10,0.084643627,4,0,-5.606,0.516277025,NA
591,2012,Greece,Western Europe,Eleftheria Eleftheriou,Aphrodisiac,NA,NA,4,116,Away,Home,0,1,1,5.000.998.654,0.095238095,0.902933752,17.960.599,0.007011205,0.63646623,109.991,0.036023263,4,0.326391956,4,0,-3.323,0.742565988,5.473.986.928
592,2012,Hungary,Former Socialist Bloc,Compact Disco,Sound Of Our Hearts,NA,NA,10,52,Away,Away,0,1,1,2.239.820.652,0.042692939,0.822859223,18.001.333,0.00930913,0.445287018,80.024,0.035563033,2,0.131495018,4,1,-4.677,0.425003022,5.379.855.072
593,2012,Iceland,Scandinavia,Greta Salame   Jansi,Never Forget,NA,NA,8,75,Away,Away,0,1,1,3.518.062.448,0.061576355,0.723798033,18.066.576,0.026605817,0.55979692,101.299,0.028423184,5,0.048189424,3,0,-4.132,0.720966886,NA
594,2012,Ireland,Independent,Jedward,Waterline,NA,NA,6,92,Away,Home,0,1,1,4.830.849.531,0.075533662,0.450955409,18.534.354,0.092155874,0.629734435,144.044,0.039465122,10,0.039830925,3,1,-16.252,0.392015212,5.287.702.703
