impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-113910,A575129,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575129,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Female,Domestic Shorthair,Tortie / Brn Tabby,11/23/2018 12:00:00 AM,Received on,19600 SE 260TH ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575129,Image Copyright HLP Inc. 2018,"Received on: 2018-11-23<p/> Found Near: 19600 SE 260TH ST, COVINGTON WA 98042<p/> Description: Tortie / Brn Tabby Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113909,A575128,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575128,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Female,Domestic Shorthair,Calico,11/23/2018 12:00:00 AM,Received on,19600 SE 260TH ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575128,Image Copyright HLP Inc. 2018,"Received on: 2018-11-23<p/> Found Near: 19600 SE 260TH ST, COVINGTON WA 98042<p/> Description: Calico Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113911,A575130,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575130,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Unaltered,Domestic Mediumhair,Gray Tabby,11/23/2018 12:00:00 AM,Received on,19600 SE 260TH ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575130,Image Copyright HLP Inc. 2018,"Received on: 2018-11-23<p/> Found Near: 19600 SE 260TH ST, COVINGTON WA 98042<p/> Description: Gray Tabby Unaltered Domestic Mediumhair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113780,A574845,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574845,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nimbus,Cat,10 WEEKS,Neutered Male,Domestic Shorthair,Gray,11/15/2018 12:00:00 AM,Received on,22000 286TH AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574845,Image Copyright HLP Inc. 2018,"Received on: 2018-11-15<p/> Found Near: 22000 286TH AVE SE, MAPLE VALLEY WA 98038<p/> Description: Gray Neutered Male Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K18-113445,A558778,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A558778,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Peppercorn,Cat,4 YEARS 6 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby / White,11/01/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A558778,Image Copyright HLP Inc. 2018,"Received on: 2018-11-01<p/> Description: Brn Tabby / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 4 YEARS 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Peppercorn and I am available for adoption.<p/><p/>I was transferred in from another shelter on 5/24/18.  I was adopted and returned because I was urinating inappropriately in the home. <p/><p/>I am a very shy and timid girl but I respond well to positive attention. I enjoy gentle petting and butt scratches. <p/><p/>I will probably prefer to do my own thing but I am curious of people. <p/><p/>I do not enjoy being picked up and I try my best to avoid it. <p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/> Adoption Fee: $30.00<p/>",
K18-112197,A568654,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A568654,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Marvin,Cat,5 YEARS 2 MONTHS,Neutered Male,Domestic Shorthair,Black / White,09/16/2018 12:00:00 AM,Received on,26800 309TH AVE SE,RAVENSDALE,WA,98051,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A568654,Image Copyright HLP Inc. 2018,"Received on: 2018-09-16<p/> Found Near: 26800 309TH AVE SE, RAVENSDALE WA 98051<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 5 YEARS 2 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K18-113201,A572875,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A572875,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Duke,Cat,9 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Brn Tabby / White,10/24/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A572875,Image Copyright HLP Inc. 2018,"Received on: 2018-10-24<p/> Description: Brn Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 9 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Duke and I am available for adoption.<p/><p/>I was brought in by a good samaritan on 10/24/18.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/> Adoption Fee: $30.00<p/>",BLUE
K18-113201,A572875,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A572875,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Duke,Cat,9 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Brn Tabby / White,10/24/2018 12:00:00 AM,Received on,14300 NE 7TH PL,BELLEVUE,WA,98007,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A572875,Image Copyright HLP Inc. 2018,"Received on: 2018-10-24<p/> Found Near: 14300 NE 7TH PL, BELLEVUE WA 98007<p/> Description: Brn Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 9 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K18-113913,A575131,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575131,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,1 YEAR 6 MONTHS,Male,German Shepherd,Black / Tan,11/24/2018 12:00:00 AM,Received on,15400 SE JONES RD,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575131,Image Copyright HLP Inc. 2018,"Received on: 2018-11-24<p/> Found Near: 15400 SE JONES RD, RENTON WA 98058<p/> Description: Black / Tan Male German Shepherd Dog<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113300,A573207,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A573207,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Haven,Cat,8 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,10/28/2018 12:00:00 AM,Received on,4300 S 347TH ST,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A573207,Image Copyright HLP Inc. 2018,"Received on: 2018-10-28<p/> Found Near: 4300 S 347TH ST, AUBURN WA 98001<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>",
K18-113914,A575132,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575132,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Flash,Dog,2 YEARS,Neutered Male,Pit Bull / Siberian Husky,Tan / Cream,11/24/2018 12:00:00 AM,Received on,10700 16TH AVE SW,SEATTLE,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575132,Image Copyright HLP Inc. 2018,"Received on: 2018-11-24<p/> Found Near: 10700 16TH AVE SW, SEATTLE WA 98146<p/> Description: Tan / Cream Neutered Male Pit Bull / Siberian Husky Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113919,A575133,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575133,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,1 YEAR,Male,Redbone Hound,Red / White,11/24/2018 12:00:00 AM,Received on,26000 PACIFIC HWY S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575133,Image Copyright HLP Inc. 2018,"Received on: 2018-11-24<p/> Found Near: 26000 PACIFIC HWY S, KENT WA 98032<p/> Description: Red / White Male Redbone Hound Dog<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113790,A574855,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574855,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Birdie,Cat,6 YEARS,Spayed Female,Domestic Longhair,Brn Tabby / White,11/15/2018 12:00:00 AM,Received on,12300 SE 95TH WAY,RENTON,WA,98056,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574855,Image Copyright HLP Inc. 2018,"Received on: 2018-11-15<p/> Found Near: 12300 SE 95TH WAY, RENTON WA 98056<p/> Description: Brn Tabby / White Spayed Female Domestic Longhair Cat<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K18-113920,A575135,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575135,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,10 MONTHS,Unaltered,Domestic Shorthair,Black / White,11/24/2018 12:00:00 AM,Received on,24800 38TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575135,Image Copyright HLP Inc. 2018,"Received on: 2018-11-24<p/> Found Near: 24800 38TH AVE S, KENT WA 98032<p/> Description: Black / White Unaltered Domestic Shorthair Cat<p/> Age: 10 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113925,A575136,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575136,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Female,Domestic Mediumhair,Black,11/24/2018 12:00:00 AM,Received on,4300 S 179TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575136,Image Copyright HLP Inc. 2018,"Received on: 2018-11-24<p/> Found Near: 4300 S 179TH ST, SEATAC WA 98188<p/> Description: Black Female Domestic Mediumhair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113933,A575141,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575141,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cutty,Dog,8 YEARS 11 MONTHS,Neutered Male,Pit Bull / Mix,Fawn / White,11/24/2018 12:00:00 AM,Received on,5400 RUSSELL RD S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575141,Image Copyright HLP Inc. 2018,"Received on: 2018-11-24<p/> Found Near: 5400 RUSSELL RD S, KENT WA 98032<p/> Description: Fawn / White Neutered Male Pit Bull / Mix Dog<p/> Age: 8 YEARS 11 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113690,A570104,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A570104,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mousse,Cat,3 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Buff / White,11/10/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A570104,Image Copyright HLP Inc. 2018,"Received on: 2018-11-10<p/> Description: Buff / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Mousse and I am available for adoption. <p/><p/>I was brought in by my previous owner on 09/29/18 because they had too many cats and couldn't take care of me anymore.<p/><p/>I am a very special girl who is trying to gain my confidence! Once I get to know you, I am a total cuddle bug! I really love attention on my own terms and will purr and knead my blankets. <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/> Adoption Fee: $30.00<p/>",BLUE
K18-113935,A575143,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575143,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Female,Domestic Shorthair,Black / White,11/24/2018 12:00:00 AM,Received on,12900 SE 185TH ST,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575143,Image Copyright HLP Inc. 2018,"Received on: 2018-11-24<p/> Found Near: 12900 SE 185TH ST, RENTON WA 98058<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113815,A491143,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A491143,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Kc,Dog,6 YEARS 7 MONTHS,Male,German Shepherd,Black / Tan,11/16/2018 12:00:00 AM,Received on,5800 SOUTHCENTER BLVD,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A491143,Image Copyright HLP Inc. 2018,"Received on: 2018-11-16<p/> Found Near: 5800 SOUTHCENTER BLVD, TUKWILA WA 98188<p/> Description: Black / Tan Male German Shepherd Dog<p/> Age: 6 YEARS 7 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113928,A575137,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575137,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 YEARS,Female,German Shepherd / Mix,Black / Brown,11/24/2018 12:00:00 AM,Received on,18200 SE 384TH ST,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575137,Image Copyright HLP Inc. 2018,"Received on: 2018-11-24<p/> Found Near: 18200 SE 384TH ST, AUBURN WA 98092<p/> Description: Black / Brown Female German Shepherd / Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113936,A575145,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1935004,LOST,Spike,Dog,Under 1 year,Male,Chihuahua - Smooth Coated,Unknown,10/28/2018 12:00:00 AM,Date Lost,158TH NE,SHORELINE,WA,98155,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1935004,Image Copyright HLP Inc. 2018,"Description: He's a black/tan Chihuahua with red collar, tag and license tag. He had a little paw, he's scare when someone next to him. He like to bark people :)) . He only eat small piece if you feed him. Pls if someone see him, pls contact me. Thank you so much<p/>Age: Under 1 year<p/>Location Lost: 158th NE, Shoreline, Wa 98155<p/>Notes: <p/>Lost Date: 10/28/2018<p/>",
